"Trendler","Arama hacmi","Başlangıç","Sona erdi","Trend dökümü","Keşfet bağlantısı"
"leonardo dicaprio","1 B+","27 Temmuz 2025 23:20:00 UTC+3","28 Temmuz 2025 00:30:00 UTC+3","leonardo dicaprio","https://trends.google.com/trends/explore?q=leonardo%20dicaprio&geo=TR&hl=tr"
"huracan - boca juniors","200+","28 Temmuz 2025 00:30:00 UTC+3","28 Temmuz 2025 05:20:00 UTC+3","huracan - boca juniors","https://trends.google.com/trends/explore?q=huracan%20-%20boca%20juniors&geo=TR&hl=tr"
"iznik gölü","200+","28 Temmuz 2025 10:30:00 UTC+3","28 Temmuz 2025 23:00:00 UTC+3","iznik gölü","https://trends.google.com/trends/explore?q=iznik%20g%C3%B6l%C3%BC&geo=TR&hl=tr"
"mudanya","100+","28 Temmuz 2025 17:40:00 UTC+3","28 Temmuz 2025 18:20:00 UTC+3","mudanya","https://trends.google.com/trends/explore?q=mudanya&geo=TR&hl=tr"
"vanspor","200+","28 Temmuz 2025 12:40:00 UTC+3","28 Temmuz 2025 13:40:00 UTC+3","vanspor","https://trends.google.com/trends/explore?q=vanspor&geo=TR&hl=tr"
"wordle","200+","28 Temmuz 2025 12:40:00 UTC+3","28 Temmuz 2025 13:20:00 UTC+3","wordle","https://trends.google.com/trends/explore?q=wordle&geo=TR&hl=tr"
"iyi oyun oyuncuları","200+","28 Temmuz 2025 00:00:00 UTC+3","28 Temmuz 2025 02:40:00 UTC+3","iyi oyun oyuncuları","https://trends.google.com/trends/explore?q=iyi%20oyun%20oyuncular%C4%B1&geo=TR&hl=tr"
"halka arz","200+","28 Temmuz 2025 09:20:00 UTC+3","28 Temmuz 2025 12:40:00 UTC+3","halka arz","https://trends.google.com/trends/explore?q=halka%20arz&geo=TR&hl=tr"
"vinicius","100+","28 Temmuz 2025 19:20:00 UTC+3","28 Temmuz 2025 19:40:00 UTC+3","vinicius","https://trends.google.com/trends/explore?q=vinicius&geo=TR&hl=tr"
"trossard","200+","28 Temmuz 2025 02:20:00 UTC+3","28 Temmuz 2025 03:50:00 UTC+3","trossard","https://trends.google.com/trends/explore?q=trossard&geo=TR&hl=tr"
"luis perez","200+","28 Temmuz 2025 10:30:00 UTC+3","28 Temmuz 2025 11:20:00 UTC+3","luis perez","https://trends.google.com/trends/explore?q=luis%20perez&geo=TR&hl=tr"
"tom hanks oscar","500+","27 Temmuz 2025 23:20:00 UTC+3","28 Temmuz 2025 00:30:00 UTC+3","tom hanks oscar","https://trends.google.com/trends/explore?q=tom%20hanks%20oscar&geo=TR&hl=tr"
"floransa","500+","27 Temmuz 2025 23:10:00 UTC+3","28 Temmuz 2025 00:20:00 UTC+3","floransa","https://trends.google.com/trends/explore?q=floransa&geo=TR&hl=tr"
"sunderland","200+","28 Temmuz 2025 14:40:00 UTC+3","28 Temmuz 2025 15:20:00 UTC+3","sunderland","https://trends.google.com/trends/explore?q=sunderland&geo=TR&hl=tr"
"angelina jolie","200+","28 Temmuz 2025 11:30:00 UTC+3","28 Temmuz 2025 12:30:00 UTC+3","angelina jolie","https://trends.google.com/trends/explore?q=angelina%20jolie&geo=TR&hl=tr"
"fenerbahçe transfer asensio","500+","28 Temmuz 2025 01:30:00 UTC+3","28 Temmuz 2025 02:40:00 UTC+3","fenerbahçe transfer asensio,skriniar","https://trends.google.com/trends/explore?q=fenerbah%C3%A7e%20transfer%20asensio&geo=TR&hl=tr"
"mehmet deniz önal","100+","28 Temmuz 2025 10:10:00 UTC+3","28 Temmuz 2025 11:20:00 UTC+3","mehmet deniz önal","https://trends.google.com/trends/explore?q=mehmet%20deniz%20%C3%B6nal&geo=TR&hl=tr"
"süper loto çekiliş sonuçları","200+","28 Temmuz 2025 10:30:00 UTC+3","28 Temmuz 2025 11:30:00 UTC+3","süper loto çekiliş sonuçları,süper loto sonuçları,super loto","https://trends.google.com/trends/explore?q=s%C3%BCper%20loto%20%C3%A7ekili%C5%9F%20sonu%C3%A7lar%C4%B1&geo=TR&hl=tr"
"antalya hava durumu","500+","28 Temmuz 2025 06:10:00 UTC+3","28 Temmuz 2025 07:30:00 UTC+3","antalya hava durumu","https://trends.google.com/trends/explore?q=antalya%20hava%20durumu&geo=TR&hl=tr"
"denzel washington oscar","500+","27 Temmuz 2025 23:20:00 UTC+3","28 Temmuz 2025 00:30:00 UTC+3","denzel washington oscar","https://trends.google.com/trends/explore?q=denzel%20washington%20oscar&geo=TR&hl=tr"
"çeşme","100+","28 Temmuz 2025 10:30:00 UTC+3","28 Temmuz 2025 11:40:00 UTC+3","çeşme","https://trends.google.com/trends/explore?q=%C3%A7e%C5%9Fme&geo=TR&hl=tr"
"cruzeiro","200+","27 Temmuz 2025 23:20:00 UTC+3","28 Temmuz 2025 01:00:00 UTC+3","cruzeiro","https://trends.google.com/trends/explore?q=cruzeiro&geo=TR&hl=tr"
"emekli maaş promosyonu bankalar","200+","28 Temmuz 2025 09:40:00 UTC+3","28 Temmuz 2025 10:20:00 UTC+3","emekli maaş promosyonu bankalar","https://trends.google.com/trends/explore?q=emekli%20maa%C5%9F%20promosyonu%20bankalar&geo=TR&hl=tr"
"yahoo","100+","28 Temmuz 2025 03:30:00 UTC+3","28 Temmuz 2025 07:30:00 UTC+3","yahoo","https://trends.google.com/trends/explore?q=yahoo&geo=TR&hl=tr"
"burak korzay","100+","28 Temmuz 2025 10:40:00 UTC+3","28 Temmuz 2025 11:30:00 UTC+3","burak korzay","https://trends.google.com/trends/explore?q=burak%20korzay&geo=TR&hl=tr"
"ulanbatur","200+","27 Temmuz 2025 23:10:00 UTC+3","28 Temmuz 2025 00:20:00 UTC+3","ulanbatur","https://trends.google.com/trends/explore?q=ulanbatur&geo=TR&hl=tr"
"son","200+","28 Temmuz 2025 02:00:00 UTC+3","28 Temmuz 2025 03:40:00 UTC+3","son","https://trends.google.com/trends/explore?q=son&geo=TR&hl=tr"
"mourinho","100+","28 Temmuz 2025 08:40:00 UTC+3","28 Temmuz 2025 10:10:00 UTC+3","mourinho","https://trends.google.com/trends/explore?q=mourinho&geo=TR&hl=tr"
"diyarbakır hava durumu","200+","28 Temmuz 2025 08:20:00 UTC+3","28 Temmuz 2025 08:50:00 UTC+3","diyarbakır hava durumu","https://trends.google.com/trends/explore?q=diyarbak%C4%B1r%20hava%20durumu&geo=TR&hl=tr"
"irina shayk","100+","28 Temmuz 2025 12:50:00 UTC+3","28 Temmuz 2025 13:30:00 UTC+3","irina shayk","https://trends.google.com/trends/explore?q=irina%20shayk&geo=TR&hl=tr"
"ezan vakitleri","200+","28 Temmuz 2025 04:40:00 UTC+3","28 Temmuz 2025 05:40:00 UTC+3","ezan vakitleri,kayseri namaz vakitleri","https://trends.google.com/trends/explore?q=ezan%20vakitleri&geo=TR&hl=tr"
"kahramanmaraş hava durumu","200+","28 Temmuz 2025 08:00:00 UTC+3","28 Temmuz 2025 08:40:00 UTC+3","kahramanmaraş hava durumu","https://trends.google.com/trends/explore?q=kahramanmara%C5%9F%20hava%20durumu&geo=TR&hl=tr"
"olay","100+","28 Temmuz 2025 08:20:00 UTC+3","28 Temmuz 2025 09:20:00 UTC+3","olay","https://trends.google.com/trends/explore?q=olay&geo=TR&hl=tr"
"fenerbahçe transfer","100+","28 Temmuz 2025 03:30:00 UTC+3","28 Temmuz 2025 04:20:00 UTC+3","fenerbahçe transfer","https://trends.google.com/trends/explore?q=fenerbah%C3%A7e%20transfer&geo=TR&hl=tr"
"titanic","100+","27 Temmuz 2025 23:20:00 UTC+3","28 Temmuz 2025 00:20:00 UTC+3","titanic","https://trends.google.com/trends/explore?q=titanic&geo=TR&hl=tr"
"okullar ne zaman açılacak","200+","28 Temmuz 2025 07:50:00 UTC+3","28 Temmuz 2025 08:20:00 UTC+3","okullar ne zaman açılacak","https://trends.google.com/trends/explore?q=okullar%20ne%20zaman%20a%C3%A7%C4%B1lacak&geo=TR&hl=tr"
"merkez bankası döviz kuru","200+","28 Temmuz 2025 09:40:00 UTC+3","28 Temmuz 2025 10:00:00 UTC+3","merkez bankası döviz kuru","https://trends.google.com/trends/explore?q=merkez%20bankas%C4%B1%20d%C3%B6viz%20kuru&geo=TR&hl=tr"
"donnarumma galatasaray","100+","28 Temmuz 2025 00:10:00 UTC+3","28 Temmuz 2025 00:40:00 UTC+3","donnarumma galatasaray","https://trends.google.com/trends/explore?q=donnarumma%20galatasaray&geo=TR&hl=tr"
"heung min son","100+","28 Temmuz 2025 03:20:00 UTC+3","28 Temmuz 2025 03:40:00 UTC+3","heung min son","https://trends.google.com/trends/explore?q=heung%20min%20son&geo=TR&hl=tr"
"isveç","100+","28 Temmuz 2025 00:20:00 UTC+3","28 Temmuz 2025 00:50:00 UTC+3","isveç","https://trends.google.com/trends/explore?q=isve%C3%A7&geo=TR&hl=tr"
"kamu personel alımı","100+","28 Temmuz 2025 08:40:00 UTC+3","28 Temmuz 2025 09:00:00 UTC+3","kamu personel alımı","https://trends.google.com/trends/explore?q=kamu%20personel%20al%C4%B1m%C4%B1&geo=TR&hl=tr"
"istanbul namaz","100+","28 Temmuz 2025 06:10:00 UTC+3","28 Temmuz 2025 06:30:00 UTC+3","istanbul namaz","https://trends.google.com/trends/explore?q=istanbul%20namaz&geo=TR&hl=tr"
"adam sandler","100+","28 Temmuz 2025 00:20:00 UTC+3","28 Temmuz 2025 00:40:00 UTC+3","adam sandler","https://trends.google.com/trends/explore?q=adam%20sandler&geo=TR&hl=tr"
