"Trendler","Arama hacmi","Başlangıç","Sona erdi","Trend dökümü","Keşfet bağlantısı"
"mehmet ali yıldırım","500+","28 Temmuz 2025 20:50:00 UTC+3",,"mehmet ali yıldırım,sondakika","https://trends.google.com/trends/explore?q=mehmet%20ali%20y%C4%B1ld%C4%B1r%C4%B1m&geo=TR&hl=tr"
"cerys nelmes","2 B+","28 Temmuz 2025 11:30:00 UTC+3",,"cerys nelmes","https://trends.google.com/trends/explore?q=cerys%20nelmes&geo=TR&hl=tr"
"nicole kidman","200+","28 Temmuz 2025 22:10:00 UTC+3",,"nicole kidman","https://trends.google.com/trends/explore?q=nicole%20kidman&geo=TR&hl=tr"
"talisca","500+","28 Temmuz 2025 18:40:00 UTC+3",,"talisca","https://trends.google.com/trends/explore?q=talisca&geo=TR&hl=tr"
"richie omorowa","500+","28 Temmuz 2025 21:50:00 UTC+3",,"richie omorowa,omorowa","https://trends.google.com/trends/explore?q=richie%20omorowa&geo=TR&hl=tr"
"mehmet fatih kiris","1 B+","28 Temmuz 2025 19:40:00 UTC+3",,"mehmet fatih kiris,mehmet fatih kiriş","https://trends.google.com/trends/explore?q=mehmet%20fatih%20kiris&geo=TR&hl=tr"
"28 temmuz hangi burç","1 B+","28 Temmuz 2025 01:00:00 UTC+3",,"28 temmuz hangi burç","https://trends.google.com/trends/explore?q=28%20temmuz%20hangi%20bur%C3%A7&geo=TR&hl=tr"
"doku","10 B+","28 Temmuz 2025 01:40:00 UTC+3","28 Temmuz 2025 20:00:00 UTC+3","doku","https://trends.google.com/trends/explore?q=doku&geo=TR&hl=tr"
"chobani ne demek","2 B+","28 Temmuz 2025 12:50:00 UTC+3","28 Temmuz 2025 22:30:00 UTC+3","chobani ne demek","https://trends.google.com/trends/explore?q=chobani%20ne%20demek&geo=TR&hl=tr"
"elektrik kesintisi","2 B+","28 Temmuz 2025 20:30:00 UTC+3","28 Temmuz 2025 21:50:00 UTC+3","elektrik kesintisi,elektrik arıza,bursa elektrik kesintisi","https://trends.google.com/trends/explore?q=elektrik%20kesintisi&geo=TR&hl=tr"
"ekrem imamoğlu yüksek lisans","2 B+","28 Temmuz 2025 15:20:00 UTC+3","28 Temmuz 2025 20:40:00 UTC+3","ekrem imamoğlu yüksek lisans","https://trends.google.com/trends/explore?q=ekrem%20imamo%C4%9Flu%20y%C3%BCksek%20lisans&geo=TR&hl=tr"
"keny arroyo","500+","28 Temmuz 2025 14:50:00 UTC+3",,"keny arroyo","https://trends.google.com/trends/explore?q=keny%20arroyo&geo=TR&hl=tr"
"bahtiyar zaynutdinov","5 B+","28 Temmuz 2025 11:10:00 UTC+3","28 Temmuz 2025 21:40:00 UTC+3","bahtiyar zaynutdinov,zaynutdinov,bakhtiyor zaynutdinov","https://trends.google.com/trends/explore?q=bahtiyar%20zaynutdinov&geo=TR&hl=tr"
"victor osimhen","2 B+","28 Temmuz 2025 19:50:00 UTC+3","28 Temmuz 2025 21:30:00 UTC+3","victor osimhen","https://trends.google.com/trends/explore?q=victor%20osimhen&geo=TR&hl=tr"
"galatasaray lazio","1 B+","28 Temmuz 2025 21:00:00 UTC+3",,"galatasaray lazio,passolig","https://trends.google.com/trends/explore?q=galatasaray%20lazio&geo=TR&hl=tr"
"cihan ünal","2 B+","28 Temmuz 2025 11:30:00 UTC+3","28 Temmuz 2025 21:10:00 UTC+3","cihan ünal","https://trends.google.com/trends/explore?q=cihan%20%C3%BCnal&geo=TR&hl=tr"
"midtjylland","500+","28 Temmuz 2025 20:20:00 UTC+3","28 Temmuz 2025 22:50:00 UTC+3","midtjylland","https://trends.google.com/trends/explore?q=midtjylland&geo=TR&hl=tr"
"sağlık bakanlığı","5 B+","28 Temmuz 2025 09:50:00 UTC+3","28 Temmuz 2025 18:20:00 UTC+3","sağlık bakanlığı","https://trends.google.com/trends/explore?q=sa%C4%9Fl%C4%B1k%20bakanl%C4%B1%C4%9F%C4%B1&geo=TR&hl=tr"
"lewis hamilton","100+","28 Temmuz 2025 22:50:00 UTC+3",,"lewis hamilton","https://trends.google.com/trends/explore?q=lewis%20hamilton&geo=TR&hl=tr"
"anthony gordon","2 B+","28 Temmuz 2025 12:50:00 UTC+3","28 Temmuz 2025 23:00:00 UTC+3","anthony gordon","https://trends.google.com/trends/explore?q=anthony%20gordon&geo=TR&hl=tr"
"turabi","2 B+","28 Temmuz 2025 10:20:00 UTC+3","28 Temmuz 2025 19:10:00 UTC+3","turabi","https://trends.google.com/trends/explore?q=turabi&geo=TR&hl=tr"
"mtv ödeme","5 B+","28 Temmuz 2025 09:00:00 UTC+3","28 Temmuz 2025 15:30:00 UTC+3","mtv ödeme,gelir vergisi ödeme","https://trends.google.com/trends/explore?q=mtv%20%C3%B6deme&geo=TR&hl=tr"
"kanal d yayın akışı","2 B+","28 Temmuz 2025 07:20:00 UTC+3","28 Temmuz 2025 17:00:00 UTC+3","kanal d yayın akışı,akşam gazetesi","https://trends.google.com/trends/explore?q=kanal%20d%20yay%C4%B1n%20ak%C4%B1%C5%9F%C4%B1&geo=TR&hl=tr"
"ayedaş","1 B+","28 Temmuz 2025 20:30:00 UTC+3","28 Temmuz 2025 21:50:00 UTC+3","ayedaş,istanbul elektrik kesintisi,bedaş,elektrik","https://trends.google.com/trends/explore?q=ayeda%C5%9F&geo=TR&hl=tr"
"nkunku","2 B+","28 Temmuz 2025 01:10:00 UTC+3","28 Temmuz 2025 18:10:00 UTC+3","nkunku","https://trends.google.com/trends/explore?q=nkunku&geo=TR&hl=tr"
"fiat egea","2 B+","28 Temmuz 2025 11:10:00 UTC+3","28 Temmuz 2025 16:50:00 UTC+3","fiat egea","https://trends.google.com/trends/explore?q=fiat%20egea&geo=TR&hl=tr"
"su kesintisi","500+","28 Temmuz 2025 20:30:00 UTC+3","28 Temmuz 2025 22:10:00 UTC+3","su kesintisi,izsu su kesintisi","https://trends.google.com/trends/explore?q=su%20kesintisi&geo=TR&hl=tr"
"artem dovbyk","2 B+","28 Temmuz 2025 00:20:00 UTC+3","28 Temmuz 2025 14:10:00 UTC+3","artem dovbyk,dovbyk","https://trends.google.com/trends/explore?q=artem%20dovbyk&geo=TR&hl=tr"
"taylan antalyalı","200+","28 Temmuz 2025 21:30:00 UTC+3","28 Temmuz 2025 22:40:00 UTC+3","taylan antalyalı","https://trends.google.com/trends/explore?q=taylan%20antalyal%C4%B1&geo=TR&hl=tr"
"teski","500+","28 Temmuz 2025 18:30:00 UTC+3","28 Temmuz 2025 22:00:00 UTC+3","teski","https://trends.google.com/trends/explore?q=teski&geo=TR&hl=tr"
"avatar 3","200+","28 Temmuz 2025 21:20:00 UTC+3","28 Temmuz 2025 23:00:00 UTC+3","avatar 3","https://trends.google.com/trends/explore?q=avatar%203&geo=TR&hl=tr"
"belize","500+","28 Temmuz 2025 20:30:00 UTC+3","28 Temmuz 2025 21:40:00 UTC+3","belize","https://trends.google.com/trends/explore?q=belize&geo=TR&hl=tr"
"ehliyet yenileme ne zaman son","2 B+","28 Temmuz 2025 06:00:00 UTC+3","28 Temmuz 2025 15:20:00 UTC+3","ehliyet yenileme ne zaman son,ehliyet randevu","https://trends.google.com/trends/explore?q=ehliyet%20yenileme%20ne%20zaman%20son&geo=TR&hl=tr"
"elektrik kesintisi sorgulama","200+","28 Temmuz 2025 20:20:00 UTC+3","28 Temmuz 2025 22:00:00 UTC+3","elektrik kesintisi sorgulama","https://trends.google.com/trends/explore?q=elektrik%20kesintisi%20sorgulama&geo=TR&hl=tr"
"denizli elektrik kesintisi","100+","28 Temmuz 2025 21:40:00 UTC+3","28 Temmuz 2025 22:50:00 UTC+3","denizli elektrik kesintisi","https://trends.google.com/trends/explore?q=denizli%20elektrik%20kesintisi&geo=TR&hl=tr"
